CityCountry,Latitude,Longitude,city,country,20150212,Language20150212,20150213,Language20150213,20150214,Language20150214,20150215,Language20150215,20150216,Language20150216,20150217,Language20150217,20150218,Language20150218,20150219,Language20150219,20150220,Language20150220,20150221,Language20150221,20150222,Language20150222,20150223,Language20150223,20150224,Language20150224,20150225,Language20150225,20150226,Language20150226,20150227,Language20150227,20150228,Language20150228,20150301,Language20150301,20150302,Language20150302,20150303,Language20150303,20150304,Language20150304,20150305,Language20150305,20150306,Language20150306,20150307,Language20150307,20150308,Language20150308,20150309,Language20150309
A Coruna-Spain0,43.3623,-8.4115,A Coruna,Spain,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en,112.0,en
Aachen-Germany0,50.7753,6.0839,Aachen,Germany,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en
Aberdeen-United Kingdom0,57.1497,-2.0943,Aberdeen,United Kingdom,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,250.0,en,457.0,en,457.0,en,578.0,en,690.0,en,690.0,en,828.0,en,828.0,en,828.0,en,828.0,en,828.0,en,828.0,en,828.0,en,828.0,en
Albufeira-Portugal0,37.0891,-8.2479,Albufeira,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en
Alges-Portugal0,38.7009,-9.231,Alges,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en
Almada-Portugal0,38.6765,-9.1651,Almada,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,259.0,en,578.0,en,1122.0,en,1277.0,en,1277.0,en,1277.0,en,1277.0,en,1277.0,en,1277.0,en
Alverca do Ribatejo-Portugal0,38.9022,-9.0397,Alverca do Ribatejo,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,104.0,en,104.0,en,346.0,en,821.0,en,821.0,en,821.0,en,821.0,en,821.0,en,821.0,en,821.0,en
Amadora-Portugal0,38.7578,-9.2245,Amadora,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,371.0,en,552.0,en,811.0,en,1536.0,en,1709.0,en,1709.0,en,1709.0,en,1709.0,en,1709.0,en,1709.0,en
Amsterdam-Netherlands0,52.3702,4.8952,Amsterdam,Netherlands,0,,0.0,en,259.0,en,613.0,en,1079.0,en,1381.0,en,1683.0,en,1795.0,en,1795.0,en,1795.0,en,1795.0,en,1933.0,en,2580.0,en,4082.0,en,4376.0,en,5049.0,en,5619.0,en,6111.0,en,6577.0,en,7190.0,en,8045.0,en,8667.0,en,8779.0,en,8960.0,en,8960.0,en,8960.0,en
Antrim-United Kingdom0,54.7136,-6.2143,Antrim,United Kingdom,0,,0.0,en,0.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en,155.0,en
Antwerp-Belgium0,51.2194,4.4025,Antwerp,Belgium,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,207.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,362.0,en,466.0,en,466.0,en,1174.0,en,1278.0,en,1278.0,en,1278.0,en,1278.0,en,1278.0,en
Athens-Greece0,37.9839,23.7294,Athens,Greece,0,,216.0,en,553.0,en,553.0,en,3246.0,en,5249.0,en,7217.0,en,9125.0,en,11145.0,en,13156.0,en,15038.0,en,17930.0,en,20468.0,en,22851.0,en,24491.0,en,26925.0,en,29377.0,en,32062.0,en,34073.0,en,35454.0,en,36481.0,en,36688.0,en,36688.0,en,36809.0,en,36809.0,en,36809.0,en
Augsburg-Germany0,48.3705,10.8978,Augsburg,Germany,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en,164.0,en
Aveiro-Portugal0,40.6405,-8.6538,Aveiro,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,104.0,en,104.0,en,104.0,en,104.0,en,216.0,en,829.0,en,829.0,en,829.0,en,829.0,en,829.0,en,829.0,en,829.0,en
Barcelona-Spain0,41.38,2.18,Barcelona,Spain,0,,0.0,en,173.0,en,311.0,en,440.0,en,440.0,en,639.0,en,889.0,en,1096.0,en,1312.0,en,1485.0,en,1684.0,en,1943.0,en,2211.0,en,2971.0,en,3705.0,en,4137.0,en,4431.0,en,4716.0,en,5156.0,en,5303.0,en,5424.0,en,5623.0,en,5752.0,en,5752.0,en,5752.0,en
Barreiro-Portugal0,38.6608,-9.0791,Barreiro,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,181.0,en,181.0,en,181.0,en,181.0,en,181.0,en,181.0,en,181.0,en
Bath-United Kingdom0,51.3758,-2.3599,Bath,United Kingdom,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,294.0,en,294.0,en,294.0,en,294.0,en,294.0,en,294.0,en,294.0,en
Beja-Portugal0,38.0153,-7.8627,Beja,Portugal,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en
Belfast-United Kingdom0,54.5973,-5.9301,Belfast,United Kingdom,0,,501.0,en,1287.0,en,3566.0,en,4671.0,en,5560.0,en,6691.0,en,7425.0,en,7969.0,en,8124.0,en,8633.0,en,9013.0,en,9453.0,en,9677.0,en,9901.0,en,10134.0,en,10419.0,en,10807.0,en,11204.0,en,11204.0,en,12119.0,en,12369.0,en,12507.0,en,12619.0,en,12619.0,en,12619.0,en
