CityCountry,Latitude,Longitude,city,country,20150212,Language20150212,20150213,Language20150213,20150214,Language20150214,20150215,Language20150215,20150216,Language20150216,20150217,Language20150217,20150218,Language20150218,20150219,Language20150219,20150220,Language20150220,20150221,Language20150221,20150222,Language20150222,20150223,Language20150223,20150224,Language20150224,20150225,Language20150225,20150226,Language20150226,20150227,Language20150227,20150228,Language20150228,20150301,Language20150301,20150302,Language20150302,20150303,Language20150303,20150304,Language20150304,20150305,Language20150305,20150306,Language20150306,20150307,Language20150307,20150308,Language20150308,20150309,Language20150309
Antofagasta-Chile0,-23.65,-70.4,Antofagasta,Chile,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en,138.0,en
Arequipa-Peru0,-16.409000000000002,-71.5375,Arequipa,Peru,0,,216.0,en,492.0,en,1761.0,en,2469.0,en,2788.0,en,3030.0,en,3168.0,en,3306.0,en,3453.0,en,3557.0,en,3816.0,en,3945.0,en,4351.0,en,4714.0,en,5008.0,en,5163.0,en,5163.0,en,5508.0,en,5508.0,en,5612.0,en,5776.0,en,5776.0,en,5776.0,en,5776.0,en,5776.0,en
Belo Horizonte-Brazil0,-19.9245,-43.9352,Belo Horizonte,Brazil,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,474.0,en,638.0,en,793.0,en,1164.0,en,2390.0,en,2684.0,en,2891.0,en,3098.0,en,3098.0,en,3737.0,en,3918.0,en,3918.0,en,3918.0,en,3918.0,en,3918.0,en
Bogota-Colombia0,4.5981,-74.0758,Bogota,Colombia,0,,0.0,en,0.0,en,0.0,en,155.0,en,155.0,en,155.0,en,733.0,en,1139.0,en,1545.0,en,1933.0,en,2615.0,en,2805.0,en,3219.0,en,3728.0,en,4401.0,en,4945.0,en,5290.0,en,5739.0,en,6179.0,en,6516.0,en,6999.0,en,6999.0,en,6999.0,en,6999.0,en,6999.0,en
Brasilia-Brazil0,-15.7942,-47.8825,Brasilia,Brazil,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,233.0,en,397.0,en,509.0,en,777.0,en,1278.0,en,1502.0,en,1614.0,en,1614.0,en,1614.0,en,1899.0,en,1899.0,en,1899.0,en,1899.0,en,1899.0,en,1899.0,en
Buenos Aires-Argentina0,-34.6037,-58.3816,Buenos Aires,Argentina,0,,311.0,en,440.0,en,440.0,en,440.0,en,440.0,en,440.0,en,621.0,en,621.0,en,621.0,en,621.0,en,966.0,en,1242.0,en,1423.0,en,1578.0,en,1941.0,en,2174.0,en,2329.0,en,2433.0,en,2433.0,en,2571.0,en,2571.0,en,2571.0,en,2571.0,en,2571.0,en,2571.0,en
Cajamarca-Peru0,-7.1617,-78.5128,Cajamarca,Peru,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en
Cali-Colombia0,3.4206,-76.5222,Cali,Colombia,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en,129.0,en
Callao-Peru0,-12.0508,-77.126,Callao,Peru,0,,0.0,en,0.0,en,147.0,en,268.0,en,268.0,en,268.0,en,268.0,en,268.0,en,268.0,en,268.0,en,268.0,en,268.0,en,372.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en,519.0,en
Campinas-Brazil0,-22.9099,-47.0626,Campinas,Brazil,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,129.0,en,129.0,en,129.0,en,276.0,en,682.0,en,837.0,en,1001.0,en,1105.0,en,1105.0,en,1321.0,en,1321.0,en,1321.0,en,1321.0,en,1321.0,en,1321.0,en
