CityCountry,Latitude,Longitude,city,country,20150212,Language20150212,20150213,Language20150213,20150214,Language20150214,20150215,Language20150215,20150216,Language20150216,20150217,Language20150217,20150218,Language20150218,20150219,Language20150219,20150220,Language20150220,20150221,Language20150221,20150222,Language20150222,20150223,Language20150223,20150224,Language20150224,20150225,Language20150225,20150226,Language20150226,20150227,Language20150227,20150228,Language20150228,20150301,Language20150301,20150302,Language20150302,20150303,Language20150303,20150304,Language20150304,20150305,Language20150305,20150306,Language20150306,20150307,Language20150307,20150308,Language20150308,20150309,Language20150309
Abu Dhabi-United Arab Emirates0,24.4667,54.3667,Abu Dhabi,United Arab Emirates,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,104.0,en,104.0,en,225.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en,337.0,en
Adana-Turkey0,37.0,35.3213,Adana,Turkey,0,,0.0,en,155.0,en,267.0,en,371.0,en,371.0,en,371.0,en,621.0,en,802.0,en,1018.0,en,1173.0,en,1415.0,en,1588.0,en,1726.0,en,1873.0,en,1985.0,en,2287.0,en,2468.0,en,2468.0,en,2641.0,en,3168.0,en,3168.0,en,3168.0,en,3168.0,en,3168.0,en,3168.0,en
Adelaide-Australia0,-34.9286,138.6,Adelaide,Australia,0,,0.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,173.0,en,302.0,en,630.0,en,924.0,en,1969.0,en,2487.0,en,2858.0,en,3005.0,en,3376.0,en,3376.0,en,3480.0,en,3774.0,en,3774.0,en,3774.0,en,3774.0,en
Ankara-Turkey0,39.9208,32.8541,Ankara,Turkey,0,,0.0,en,518.0,en,1148.0,en,1485.0,en,1951.0,en,2745.0,en,4143.0,en,4972.0,en,5732.0,en,6302.0,en,7243.0,en,8236.0,en,8961.0,en,9600.0,en,10368.0,en,11792.0,en,12353.0,en,12949.0,en,14045.0,en,14943.0,en,15150.0,en,15150.0,en,15150.0,en,15150.0,en,15150.0,en
Antalya-Turkey0,36.8841,30.7056,Antalya,Turkey,0,,0.0,en,0.0,en,0.0,en,0.0,en,138.0,en,138.0,en,267.0,en,267.0,en,371.0,en,544.0,en,673.0,en,820.0,en,941.0,en,941.0,en,941.0,en,1191.0,en,1381.0,en,1519.0,en,1743.0,en,1950.0,en,1950.0,en,1950.0,en,1950.0,en,1950.0,en,1950.0,en
Auckland-New Zealand0,36.84,174.74,Auckland,New Zealand,0,,155.0,en,293.0,en,457.0,en,1372.0,en,2045.0,en,2218.0,en,2322.0,en,2322.0,en,2322.0,en,2322.0,en,2650.0,en,3159.0,en,3711.0,en,4212.0,en,5032.0,en,5610.0,en,5895.0,en,6249.0,en,6827.0,en,7164.0,en,7414.0,en,7414.0,en,7414.0,en,7414.0,en,7414.0,en
Aydin-Turkey0,37.8481,27.8453,Aydin,Turkey,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en,121.0,en
Bangkok-Thailand0,13.7279,100.5241,Bangkok,Thailand,0,,0.0,en,0.0,en,0.0,en,0.0,en,319.0,en,319.0,en,319.0,en,319.0,en,319.0,en,319.0,en,319.0,en,423.0,en,535.0,en,811.0,en,1053.0,en,1260.0,en,1260.0,en,1510.0,en,1942.0,en,1942.0,en,1942.0,en,1942.0,en,1942.0,en,1942.0,en,1942.0,en
Barnaul-Russia0,53.3548,83.7698,Barnaul,Russia,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,112.0,en,224.0,en,328.0,en,328.0,en,328.0,en,328.0,en,328.0,en,328.0,en,328.0,en,328.0,en
Bengaluru-India0,12.9716,77.5946,Bengaluru,India,0,,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,0.0,en,104.0,en,104.0,en,104.0,en,337.0,en,337.0,en,441.0,en,441.0,en,441.0,en,441.0,en,441.0,en,441.0,en,441.0,en,441.0,en
