CityCountry,Latitude,Longitude,city,country,20140903,Language20140903,20140904,Language20140904,20140905,Language20140905,20140906,Language20140906,20140907,Language20140907,20140908,Language20140908,20140909,Language20140909,20140910,Language20140910,20140911,Language20140911,20140912,Language20140912,20140913,Language20140913,20140914,Language20140914,20140915,Language20140915,20140916,Language20140916,20140917,Language20140917,20140918,Language20140918,20140919,Language20140919,20140920,Language20140920,20140921,Language20140921,20140922,Language20140922,20140923,Language20140923,20140924,Language20140924,20140925,Language20140925,20140926,Language20140926,20140927,Language20140927,20140928,Language20140928,20140929,Language20140929,20140930,Language20140930,20141001,Language20141001,20141002,Language20141002,20141003,Language20141003,20141004,Language20141004,20141005,Language20141005,20141006,Language20141006,20141007,Language20141007,20141008,Language20141008,20141009,Language20141009
Barcelona-Spain0,41.38,2.18,Barcelona,Spain,0,,2.0,en,9.0,en,10.0,en,26.0,en,28.0,en,33.0,en,39.0,en,39.0,,39.0,,39.0,,39.0,,40.0,en,40.0,,40.0,,40.0,,41.0,en,43.0,en,43.0,,43.0,,44.0,en,44.0,,44.0,,44.0,,44.0,,44.0,,44.0,,44.0,,48.0,en,48.0,,50.0,en,66.0,en,84.0,en,87.0,en,88.0,en,89.0,en,89.0,en
Barcelona-Spain1,41.38,2.18,Barcelona,Spain,0,,0.0,en,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,42.0,es,42.0,,83.0,es,98.0,es,103.0,es,105.0,es,106.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es,109.0,es
Barcelona-Spain2,41.38,2.18,Barcelona,Spain,0,,0.0,en,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,fr,1.0,,1.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,,3.0,fr,3.0,fr
