# ----------------------------------------
# buzzfeed.com
"# Country, Make You Smile"
# 20140901-20141102
# ----------------------------------------

Country / Territory,Week of the Year,Total Events
10/22/14,"1,231"
10/23/14,"1,206"
10/24/14,"2,830"
10/25/14,"1,573"
10/26/14,"1,339"
10/27/14,"1,924"
10/28/14,"2,780"
10/29/14,"1,802"
10/30/14,"1,663"
10/31/14,"1,620"
11/1/14,"1,459"
11/2/14,"2,560"
,"7,321,209"

