# ----------------------------------------
# buzzfeed.com
# Event Pages
# 20140901-20141028
# ----------------------------------------

Page,Country / Territory,Total Events,Unique Events,Event Value,Avg. Value
/expresident/make-you-smile#lfy6dx,United States,"3,580",163,0,0.00
/expresident/make-you-smile,Argentina,"3,499",651,0,0.00
/expresident/make-you-smile,Hong Kong,"3,499",488,0,0.00
/expresident/make-you-smile?bffb=,Japan,"3,499",488,0,0.00
/expresident/make-you-smile?bffb=,Romania,"3,499",407,0,0.00
/expresident/make-you-smile?bftw=main,Netherlands,"3,499",163,0,0.00
/expresident/make-you-smile#3rhzra8,Canada,"3,499",244,0,0.00
/expresident/make-you-smile?bffblists=,United States,"3,418",244,0,0.00
/expresident/make-you-smile#89uriw,United States,"3,418",163,0,0.00
/expresident/make-you-smile?bffb=,Finland,"3,336",407,0,0.00
,,"7,164,469","879,982","2,853,321,866",398.26

Day Index,Total Events
9/1/14,0
9/2/14,0
9/3/14,0
9/4/14,"1,423,166"
9/5/14,"3,146,199"
9/6/14,"643,676"
9/7/14,"296,123"
9/8/14,"164,947"
9/9/14,"98,545"
9/10/14,"78,283"
9/11/14,"66,158"
9/12/14,"39,955"
9/13/14,"24,982"
9/14/14,"46,953"
9/15/14,"13,915"
9/16/14,"13,752"
9/17/14,"17,902"
9/18/14,"5,859"
9/19/14,"7,975"
9/20/14,"1,627"
9/21/14,"6,184"
9/22/14,"2,278"
9/23/14,"7,080"
9/24/14,"5,615"
9/25/14,"3,580"
9/26/14,"19,042"
9/27/14,"6,673"
9/28/14,"3,336"
9/29/14,895
9/30/14,"4,394"
10/1/14,"94,395"
10/2/14,"124,992"
10/3/14,"21,483"
10/4/14,"467,092"
10/5/14,"151,276"
10/6/14,"64,856"
10/7/14,"19,774"
10/8/14,"7,161"
10/9/14,"9,277"
10/10/14,"5,696"
10/11/14,"9,114"
10/12/14,"7,324"
10/13/14,0
10/14/14,"2,278"
10/15/14,407
10/16/14,"1,790"
10/17/14,"4,720"
10/18/14,"6,591"
10/19/14,"5,371"
10/20/14,651
10/21/14,0
10/22/14,0
10/23/14,"1,058"
10/24/14,"3,580"
10/25/14,976
10/26/14,325
10/27/14,"4,557"
10/28/14,651
,"7,164,489"

